Sample ,Larvae,Buffer_dilution_factor,Dilution ,Volume_ul,rep1,rep2,rep3,rep4,rep5
G2,L1,3,1000,10,65,68,,,
G2,L2,3,100,10,61,95,,,
G2,L3,3,100,10,34,,,,
G2,L3,3,1000,10,2,,,,
G2,L4,3,10000,10,53,93,,,
G2,L4,3,100000,10,5,2,,,
G2,L5,3,100,10,64,195,,,
G2,L5,3,1000,10,9,9,,,
G2,L6,3,100,10,66,74,,,
G2,L6,3,1000,10,9,,,,
G2,L7,3,1000,10,26,46,,,
G2,L8,3,100,10,188,,,,
G2,L8,3,1000,10,14,,,,
G2,L9,3,10,10,52,49,,,
G2,L9,3,100,10,3,5,,,
G2,L10,3,100,10,28,56,,,
G2,L10,3,1000,10,3,,,,
G2,L11,3,10,10,125,103,,,
G2,L11,3,100,10,11,7,,,
G2,L12,3,1000,10,28,17,,,
G2,L12,3,10000,10,1,2,,,
G2,L13,3,1000,128,129,,,,
G2,L13,3,10000,38,24,,,,
G2,L14,3,10,10,9,2,,,
G2,L14,3,10,100,33,34,,,
G2,L15,3,100,10,33,35,,,
G2,L16,3,100,10,22,17,,,
G2,L16,3,1000,10,1,,,,
G2,L17,3,10,10,86,107,,,
G2,L17,3,100,10,12,,,,
G2,L18,3,10000,10,42,38,,,
G2,L18,3,100000,10,3,9,,,
G2,L19,3,100,10,92,106,85,,
G2,L19,3,1000,10,3,3,4,,
G2,L20,3,1000,133,126,,,,
G3,L1,3,10,10,55,56,,,
G3,L1,3,100,10,7,7,,,
G3,L2,3,10,100,3,,,,
G3,L3,3,1000,10,73,50,,,
G3,L3,3,10000,10,1,2,,,
G3,L4,3,10,100,49,,,,
G3,L4,3,10,10,11,4,,,
G3,L5,3,100,10,42,,,,
G3,L5,3,1000,10,2,,,,
G3,L6,3,10,10,24,35,,,
G3,L6,3,100,10,2,3,,,
G3,L7,3,100,10,32,31,,,
G3,L8,3,1000,10,30,,,,
G3,L9,3,10,10,28,32,,,
G3,L9,3,10,100,124,,,,
G3,L10,3,10,10,104,137,,,
G3,L11,3,1000,10,27,17,,,
G3,L12,3,10,10,1,1,,,
G3,L12,3,10,100,2,3,,,
G3,L13,3,10,10,30,32,,,
G3,L13,3,10,100,136,,,,
G3,L13,3,100,10,2,2,,,
G3,L14,3,10,10,24,17,14,,
G3,L14,3,10,100,35,,,,
G3,L14,3,100,10,1,2,1,1,1
G3,L15,3,10,100,0,,,,
G3,L16,3,10,10,16,18,19,,
G3,L16,3,10,100,103,,,,
G3,L16,3,100,10,2,1,1,,
G3,L17,3,10,10,66,65,60,,
G3,L17,3,100,10,4,5,2,4,
G3,L18,3,10,100,0,,,,
G3,L19,3,10,10,87,80,92,,
G3,L19,3,100,10,10,12,10,9,
G3,L20,3,10000,10,34,48,,,
G4,L1,3,10,10,13,23,,,
G4,L1,3,100,10,2,2,,,
G4,L2,3,10,10,2,,,,
G4,L2,3,10,100,5,5,,,
G4,L3,3,10,10,4,2,,,
G4,L3,3,100,10,1,,,,
G4,L3,3,10,100,7,,,,
G4,L4,3,10,10,5,3,,,
G4,L4,3,100,10,2,,,,
G4,L4,3,10,100,14,,,,
G4,L5,3,10,10,33,26,,,
G4,L5,3,100,10,2,1,,,
G4,L5,3,10,100,99,,,,
G4,L6,3,10,100,0,,,,
G4,L7,3,100,10,47,57,,,
G4,L7,3,1000,10,3,4,,,
G4,L7,3,10000,10,1,,,,
G4,L8,3,100,10,21,32,,,
G4,L8,3,1000,10,1,,,,
G4,L9,3,10,100,0,,,,
G4,L10,3,10,10,127,121,,,
G4,L10,3,100,10,10,13,,,
G4,L10,3,1000,10,1,,,,
G4,L11,3,10,10,1,2,2,,
G4,L11,3,10,100,12,,,,
G4,L12,3,10,10,8,12,9,,
G4,L12,3,10,100,57,,,,
G4,L13,3,100,10,181,252,,,
G4,L13,3,1000,10,25,30,,,
G4,L14,3,10,100,0,,,,
G4,L15,3,10,100,0,,,,
G4,L16,3,10,10,28,24,25,,
G4,L16,3,10,100,93,,,,
G4,L16,3,100,10,3,3,3,2,
G4,L17,3,10,10,32,26,23,,
G4,L17,3,10,100,113,,,,
G4,L17,3,100,10,5,2,2,,
G4,L18,3,10,10,49,41,37,,
G4,L18,3,10,100,242,,,,
G4,L18,3,100,10,3,3,2,2,
G4,L19,3,10,10,71,55,53,,
G4,L19,3,10,100,274,,,,
G4,L19,3,100,10,7,5,5,4,
G4,L20,3,10,10,2,,,,
G4,L20,3,10,100,0,,,,
G5,L1,3,10,10,1,,,,
G5,L1,3,10,100,1,3,,,
G5,L2,3,10,10,23,23,,,
G5,L2,3,100,10,2,2,,,
G5,L3,3,1000,10,16,5,,,
G5,L3,3,100,10,124,,,,
G5,L4,3,1000,10,53,48,,,
G5,L5,3,100,10,55,61,,,
G5,L5,3,1000,10,3,5,,,
G5,L6,3,10,10,2,5,,,
G5,L7,3,10,100,45,,,,
G5,L7,3,10,10,13,5,,,
G5,L7,3,100,10,2,,,,
G5,L8,3,10,10,107,91,,,
G5,L8,3,100,10,8,10,,,
G5,L8,3,1000,10,2,,,,
G5,L9,3,10,10,4,,,,
G5,L9,3,10,100,20,,,,
G5,L10,3,100,10,79,76,,,
G5,L11,3,10,10,15,14,8,,
G5,L11,3,10,100,37,,,,
G5,L11,3,100,10,3,1,1,1,
G5,L12,3,10,10,49,39,42,,
G5,L12,3,10,100,73,,,,
G5,L12,3,100,10,3,2,3,2,
G5,L13,3,10,10,18,29,20,,
G5,L13,3,10,100,53,,,,
G5,L13,3,100,10,2,3,4,,
G5,L14,3,1000,100,159,117,,,
G5,L15,3,10,10,8,4,6,,
G5,L15,3,10,100,24,,,,
G5,L15,3,100,10,1,1,,,
G5,L16,3,10,10,83,107,111,,
G5,L16,3,100,10,8,5,10,10,
G5,L17,3,10,10,8,6,13,,
G5,L17,3,10,100,51,,,,
G5,L17,3,100,10,1,,,,
G5,L18,3,10,10,89,91,73,,
G5,L18,3,100,10,10,11,12,5,
G5,L19,3,10,10,54,52,42,,
G5,L19,3,10,100,170,,,,
G5,L19,3,100,10,2,2,4,1,
G5,L20,3,10,10,2,4,,,
G5,L20,3,10,100,16,,,,
G6,L1,3,10,10,5,9,,,
G6,L1,3,10,100,23,,,,
G6,L2,3,100,10,79,75,59,68,
G6,L2,3,1000,10,4,,,,
G6,L3,3,10,100,24,41,,,
G6,L4,3,10,10,65,45,,,
G6,L4,3,100,10,11,12,,,
G6,L5,3,10,10,22,25,,,
G6,L6,3,10,10,1,2,4,,
G6,L6,3,10,100,6,,,,
G6,L7,3,10,10,37,41,24,,
G6,L7,3,100,10,7,3,4,,
G6,L8,3,10,10,66,75,,,
G6,L8,3,100,10,1,4,,,
G6,L9,3,10,10,42,49,,,
G6,L9,3,100,10,5,4,,,
G6,L10,3,10,10,20,20,,,
G6,L10,3,100,10,4,3,,,
G6,L11,3,10,10,2,7,4,,
G6,L11,3,10,100,11,,,,
G6,L11,3,100,10,1,1,,,
G6,L12,3,10000,10,107,126,130,,
G6,L13,3,10,10,34,34,32,,
G6,L13,3,10,100,198,,,,
G6,L13,3,100,10,6,4,1,,
G6,L14,3,10,10,70,72,58,,
G6,L14,3,10,100,267,,,,
