time,total,dead,alive
1,20,0,20
2,20,0,20
3,20,0,20
4,20,0,20
5,20,0,20
6,20,0,20
7,20,0,20
8,20,0,20
9,20,0,20
10,20,0,20
11,20,0,20
12,20,0,20
13,20,0,20
14,20,0,20
15,20,0,20
16,20,0,20
17,20,0,20
18,20,0,20
19,20,0,20
20,20,0,20
21,20,0,20
22,20,0,20
23,20,0,20
24,20,0,20
25,20,0,20
26,20,0,20
27,20,0,20
28,20,0,20
29,20,0,20
30,20,0,20
31,20,0,20
32,20,0,20
33,20,0,20
34,20,0,20
35,20,0,20
36,20,0,20
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,10,0,10
