Sample,Larvae,activity,cocoon_formation,melanization,survival,total_score
S1,L1,3,0,4,2,9
S1,L2,3,0,4,2,9
S1,L3,3,0,4,2,9
S1,L4,3,0,4,2,9
S1,L5,3,0,4,2,9
S1,L6,3,0,4,2,9
S1,L7,3,0,1,2,6
S1,L8,3,0,4,2,9
S1,L9,3,0,4,2,9
S1,L10,3,0,1,2,6
S2,L1,2,0,4,2,8
S2,L2,3,0,4,2,9
S2,L3,3,0,4,2,9
S2,L4,3,0,4,2,9
S2,L5,3,0,4,2,9
S2,L6,3,0,3,2,8
S2,L7,3,0,4,2,9
S2,L8,3,0,4,2,9
S2,L9,3,0,4,2,9
S2,L10,3,0,4,2,9
S3,L1,3,0,4,2,9
S3,L2,3,0,3,2,8
S3,L3,2,0,3,2,7
S3,L4,3,0,4,2,9
S3,L5,3,0,4,2,9
S3,L6,3,0,4,2,9
S3,L7,3,0,4,2,9
S3,L8,3,0,4,2,9
S3,L9,3,0,4,2,9
S3,L10,3,0,4,2,9
S4,L1,3,0,3,2,8
S4,L2,3,0,4,2,9
S4,L3,3,0,4,2,9
S4,L4,3,0,3,2,8
S4,L5,3,0,4,2,9
S4,L6,3,0,3,2,8
S4,L7,3,0,4,2,9
S4,L8,3,0,4,2,9
S4,L9,0,0,2,0,2
S4,L10,3,0,4,2,9
S5,L1,3,0,4,2,9
S5,L2,2,0,4,2,8
S5,L3,3,0,2,2,7
S5,L4,1,0,4,2,7
S5,L5,1,0,3,2,6
S5,L6,1,0,1,2,4
S5,L7,3,0,4,2,9
S5,L8,0,0,3,0,3
S5,L9,0,0,3,0,3
S5,L10,0,0,0,0,0
S6,L1,1,0,2,2,5
S6,L2,0,0,0,0,0
S6,L3,0,0,0,0,0
S6,L4,0,0,0,0,0
S6,L5,0,0,0,0,0
S6,L6,0,0,0,0,0
S6,L7,0,0,0,0,0
S6,L8,1,0,2,2,5
S6,L9,3,0,2,2,7
S6,L10,0,0,0,0,0
S7,L1,0,0,0,0,0
S7,L2,0,0,0,0,0
S7,L3,0,0,0,0,0
S7,L4,0,0,0,0,0
S7,L5,0,0,0,0,0
S7,L6,0,0,0,0,0
S7,L7,0,0,0,0,0
S7,L8,0,0,0,0,0
S7,L9,0,0,0,0,0
S7,L10,0,0,0,0,0
S8,L1,0,0,0,0,0
S8,L2,0,0,0,0,0
S8,L3,0,0,0,0,0
S8,L8,1,0,3,2,6
S8,L5,0,0,0,0,0
S8,L6,0,0,0,0,0
S8,L7,0,0,0,0,0
S8,L4,0,0,0,0,0
S8,L9,0,0,0,0,0
S8,L10,0,0,2,0,2
S9,L1,0,0,0,0,0
S9,L2,0,0,0,0,0
S9,L3,0,0,0,0,0
S9,L4,0,0,1,0,1
S9,L5,0,0,0,0,0
S9,L6,0,0,0,0,0
S9,L7,0,0,0,0,0
S9,L8,0,0,0,0,0
S9,L9,0,0,0,0,0
S9,L10,0,0,0,0,0
S10,L1,0,0,0,0,0
S10,L2,0,0,0,0,0
S10,L3,0,0,0,0,0
S10,L4,0,0,0,0,0
S10,L5,0,0,0,0,0
S10,L6,0,0,0,0,0
S10,L7,0,0,0,0,0
S10,L8,0,0,0,0,0
S10,L9,0,0,0,0,0
S10,L10,0,0,0,0,0
S11,L1,0,0,0,0,0
S11,L2,0,0,0,0,0
S11,L3,0,0,0,0,0
S11,L4,0,0,0,0,0
S11,L5,0,0,0,0,0
S11,L6,0,0,0,0,0
S11,L7,0,0,0,0,0
S11,L8,0,0,0,0,0
S11,L9,0,0,0,0,0
S11,L10,0,0,0,0,0
S12,L1,0,0,0,0,0
S12,L2,0,0,0,0,0
S12,L3,0,0,0,0,0
S12,L4,0,0,0,0,0
S12,L5,0,0,0,0,0
S12,L6,0,0,0,0,0
S12,L7,0,0,0,0,0
S12,L8,0,0,0,0,0
S12,L9,0,0,0,0,0
S12,L10,0,0,0,0,0
