time,total,dead,alive
1,130,0,130
2,130,0,130
3,130,0,130
4,130,0,130
5,120,0,120
6,120,0,120
7,120,0,120
8,120,1,119
9,110,1,109
10,110,2,108
11,110,2,108
12,110,2,108
13,100,2,98
14,100,2,98
15,100,2,98
16,100,7,93
17,90,7,83
18,90,7,83
19,90,10,80
20,90,20,70
21,80,32,48
22,80,45,35
23,80,53,27
24,80,63,17
25,70,56,14
26,70,61,9
27,70,61,9
28,70,63,7
29,60,53,7
30,60,54,6
31,60,55,5
32,60,56,4
33,50,46,4
34,50,46,4
35,50,46,4
36,50,46,4
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,30,28,2
