Sample,Larvae,time_to_death_h
S1,L1,NA
S1,L2,NA
S1,L3,NA
S1,L4,NA
S1,L5,NA
S1,L6,NA
S1,L7,NA
S1,L8,NA
S1,L9,NA
S1,L10,NA
S2,L1,NA
S2,L2,NA
S2,L3,NA
S2,L4,NA
S2,L5,NA
S2,L6,NA
S2,L7,NA
S2,L8,NA
S2,L9,NA
S2,L10,NA
S3,L1,NA
S3,L2,NA
S3,L3,NA
S3,L4,NA
S3,L5,NA
S3,L6,NA
S3,L7,NA
S3,L8,NA
S3,L9,NA
S3,L10,NA
S4,L1,NA
S4,L2,NA
S4,L3,NA
S4,L4,NA
S4,L5,NA
S4,L6,NA
S4,L7,NA
S4,L8,NA
S4,L9,16
S4,L10,NA
S5,L1,NA
S5,L2,NA
S5,L3,NA
S5,L4,NA
S5,L5,NA
S5,L6,NA
S5,L7,NA
S5,L8,16
S5,L9,10
S5,L10,8
S6,L1,NA
S6,L2,22
S6,L3,22
S6,L4,23
S6,L5,20
S6,L6,23
S6,L7,23
S6,L8,NA
S6,L9,NA
S6,L10,21
S7,L1,26
S7,L2,21
S7,L3,22
S7,L4,24
S7,L5,24
S7,L6,23
S7,L7,24
S7,L8,20
S7,L9,23
S7,L10,17
S8,L1,21
S8,L2,19
S8,L3,22
S8,L4,20
S8,L5,21
S8,L6,22
S8,L7,23
S8,L8,NA
S8,L9,19
S8,L10,30
S9,L1,23
S9,L2,19
S9,L3,32
S9,L4,20
S9,L5,22
S9,L6,16
S9,L7,24
S9,L8,21
S9,L9,20
S9,L10,24
S10,L1,26
S10,L2,22
S10,L3,21
S10,L4,26
S10,L5,20
S10,L6,22
S10,L7,20
S10,L8,21
S10,L9,16
S10,L10,21
S11,L1,22
S11,L2,24
S11,L3,28
S11,L4,31
S11,L5,NA
S11,L6,NA
S11,L7,23
S11,L8,20
S11,L9,20
S11,L10,24
S12,L1,24
S12,L2,20
S12,L3,24
S12,L4,21
S12,L5,22
S12,L6,20
S12,L7,20
S12,L8,21
S12,L9,21
S12,L10,24
EX,L1,26
EX,L2,22
EX,L3,22
EX,L4,26
EX,L5,36
EX,L6,20
EX,L7,21
EX,L8,22
EX,L9,29
EX,L10,22
C,L1,NA
C,L2,NA
C,L3,NA
C,L4,NA
C,L5,NA
C,L6,NA
C,L7,NA
C,L8,NA
C,L9,NA
C,L10,NA
C,L11,NA
C,L12,NA
C,L13,NA
C,L14,NA
C,L15,NA
C,L16,NA
C,L17,NA
C,L18,NA
C,L19,NA
C,L20,NA
